full_text,clean_text,tokens,normalized_tokens,filtered_tokens,stemmed_tokens,final_text,sentiment
@ELHopkins In mitigating for Covid-19 esp by improving indoor air quality we would also be addressing a lot of other problems such as traffic pollution. High time to address this issue in schools hospitals and indeed all public buildings,in mitigating for covid esp by improving indoor air quality we would also be addressing a lot of other problems such as traffic pollution high time to address this issue in schools hospitals and indeed all public buildings,"['in', 'mitigating', 'for', 'covid', 'esp', 'by', 'improving', 'indoor', 'air', 'quality', 'we', 'would', 'also', 'be', 'addressing', 'a', 'lot', 'of', 'other', 'problems', 'such', 'as', 'traffic', 'pollution', 'high', 'time', 'to', 'address', 'this', 'issue', 'in', 'schools', 'hospitals', 'and', 'indeed', 'all', 'public', 'buildings']","['in', 'mitigating', 'for', 'covid', 'esp', 'by', 'improving', 'indoor', 'air', 'quality', 'we', 'would', 'also', 'be', 'addressing', 'a', 'lot', 'of', 'other', 'problems', 'such', 'as', 'traffic', 'pollution', 'high', 'time', 'to', 'address', 'this', 'issue', 'in', 'schools', 'hospitals', 'and', 'indeed', 'all', 'public', 'buildings']","['mitigating', 'covid', 'esp', 'improving', 'indoor', 'air', 'quality', 'addressing', 'lot', 'problems', 'traffic', 'pollution', 'high', 'address', 'issue', 'schools', 'hospitals', 'indeed', 'public', 'buildings']","['mitigating', 'covid', 'esp', 'improving', 'indoor', 'air', 'quality', 'addressing', 'lot', 'problems', 'traffic', 'pollution', 'high', 'address', 'issue', 'schools', 'hospitals', 'indeed', 'public', 'buildings']",mitigating covid esp improving indoor air quality addressing lot problems traffic pollution high address issue schools hospitals indeed public buildings,neutral
Back here at Washington Square where #SLC is celebrating the launch of its much-anticipated e-bike incentive program. The $200 000 pilot program aims to get more e-bikes on the road which they say could reduce traffic congestion and improve air quality https://t.co/foLrwqRgsS,back here at washington square where is celebrating the launch of its muchanticipated ebike incentive program the pilot program aims to get more ebikes on the road which they say could reduce traffic congestion and improve air quality,"['back', 'here', 'at', 'washington', 'square', 'where', 'is', 'celebrating', 'the', 'launch', 'of', 'its', 'muchanticipated', 'ebike', 'incentive', 'program', 'the', 'pilot', 'program', 'aims', 'to', 'get', 'more', 'ebikes', 'on', 'the', 'road', 'which', 'they', 'say', 'could', 'reduce', 'traffic', 'congestion', 'and', 'improve', 'air', 'quality']","['back', 'here', 'at', 'washington', 'square', 'where', 'is', 'celebrating', 'the', 'launch', 'of', 'its', 'muchanticipated', 'ebike', 'incentive', 'program', 'the', 'pilot', 'program', 'aims', 'to', 'get', 'more', 'ebikes', 'on', 'the', 'road', 'which', 'they', 'say', 'could', 'reduce', 'traffic', 'congestion', 'and', 'improve', 'air', 'quality']","['back', 'washington', 'square', 'celebrating', 'launch', 'muchanticipated', 'ebike', 'incentive', 'program', 'pilot', 'program', 'aims', 'ebikes', 'road', 'say', 'reduce', 'traffic', 'congestion', 'improve', 'air', 'quality']","['back', 'washington', 'square', 'celebrating', 'launch', 'muchanticipated', 'ebike', 'incentive', 'program', 'pilot', 'program', 'aims', 'ebikes', 'road', 'say', 'reduce', 'traffic', 'congestion', 'improve', 'air', 'quality']",back washington square celebrating launch muchanticipated ebike incentive program pilot program aims ebikes road say reduce traffic congestion improve air quality,positive
The air quality forecast across northern Utah is not expected to be great over the next few days. Below is the forecast for the Salt Lake area showing Unhealthy for Sensitive Groups. Check out the forecast in your area at https://t.co/DeW5ZmKBhE #UTwx https://t.co/PTpreJpqWW,the air quality forecast across northern utah is not expected to be great over the next few days below is the forecast for the salt lake area showing unhealthy for sensitive groups check out the forecast in your area at,"['the', 'air', 'quality', 'forecast', 'across', 'northern', 'utah', 'is', 'not', 'expected', 'to', 'be', 'great', 'over', 'the', 'next', 'few', 'days', 'below', 'is', 'the', 'forecast', 'for', 'the', 'salt', 'lake', 'area', 'showing', 'unhealthy', 'for', 'sensitive', 'groups', 'check', 'out', 'the', 'forecast', 'in', 'your', 'area', 'at']","['the', 'air', 'quality', 'forecast', 'across', 'northern', 'utah', 'is', 'not', 'expected', 'to', 'be', 'great', 'over', 'the', 'next', 'few', 'days', 'below', 'is', 'the', 'forecast', 'for', 'the', 'salt', 'lake', 'area', 'showing', 'unhealthy', 'for', 'sensitive', 'groups', 'check', 'out', 'the', 'forecast', 'in', 'your', 'area', 'at']","['air', 'quality', 'forecast', 'across', 'northern', 'utah', 'expected', 'great', 'days', 'forecast', 'salt', 'lake', 'area', 'showing', 'unhealthy', 'sensitive', 'groups', 'check', 'forecast', 'area']","['air', 'quality', 'forecast', 'across', 'northern', 'utah', 'expected', 'great', 'days', 'forecast', 'salt', 'lake', 'area', 'showing', 'unhealthy', 'sensitive', 'groups', 'check', 'forecast', 'area']",air quality forecast across northern utah expected great days forecast salt lake area showing unhealthy sensitive groups check forecast area,positive
#OpenAccess Characterization of two aerosol carbon analyzers based on temperature programmed oxidation: TCA08 and FATCAT by Joel C. Corbin et al. is online. Editor Coty Jen. #Climate #AirQuality #Quantification https://t.co/SHQgXSlkcp;;;;;;;,characterization of two aerosol carbon analyzers based on temperature programmed oxidation tca and fatcat by joel c corbin et al is online editor coty jen,"['characterization', 'of', 'two', 'aerosol', 'carbon', 'analyzers', 'based', 'on', 'temperature', 'programmed', 'oxidation', 'tca', 'and', 'fatcat', 'by', 'joel', 'c', 'corbin', 'et', 'al', 'is', 'online', 'editor', 'coty', 'jen']","['characterization', 'of', 'two', 'aerosol', 'carbon', 'analyzers', 'based', 'on', 'temperature', 'programmed', 'oxidation', 'tca', 'and', 'fatcat', 'by', 'joel', 'c', 'corbin', 'et', 'al', 'is', 'online', 'editor', 'coty', 'jen']","['characterization', 'aerosol', 'carbon', 'analyzers', 'based', 'temperature', 'programmed', 'oxidation', 'tca', 'fatcat', 'joel', 'c', 'corbin', 'et', 'al', 'online', 'editor', 'coty', 'jen']","['characterization', 'aerosol', 'carbon', 'analyzers', 'based', 'temperature', 'programmed', 'oxidation', 'tca', 'fatcat', 'joel', 'c', 'corbin', 'et', 'al', 'online', 'editor', 'coty', 'jen']",characterization aerosol carbon analyzers based temperature programmed oxidation tca fatcat joel c corbin et al online editor coty jen,neutral
#abstorm 10:25a AIR QUALITY ADVISORY ENDED by Environment Canada Bonnyville - St. Paul - Cold Lake - Lac La Biche Peace River - Fairview - High Prairie - Manning https://t.co/k9KZS5nCBa;;;;;;;,a air quality advisory ended by environment canada bonnyville st paul cold lake lac la biche peace river fairview high prairie manning,"['a', 'air', 'quality', 'advisory', 'ended', 'by', 'environment', 'canada', 'bonnyville', 'st', 'paul', 'cold', 'lake', 'lac', 'la', 'biche', 'peace', 'river', 'fairview', 'high', 'prairie', 'manning']","['a', 'air', 'quality', 'advisory', 'ended', 'by', 'environment', 'canada', 'bonnyville', 'st', 'paul', 'cold', 'lake', 'lac', 'la', 'biche', 'peace', 'river', 'fairview', 'high', 'prairie', 'manning']","['air', 'quality', 'advisory', 'ended', 'environment', 'canada', 'bonnyville', 'st', 'paul', 'cold', 'lake', 'lac', 'la', 'biche', 'peace', 'river', 'fairview', 'high', 'prairie', 'manning']","['air', 'quality', 'advisory', 'ended', 'environment', 'canada', 'bonnyville', 'st', 'paul', 'cold', 'lake', 'lac', 'la', 'biche', 'peace', 'river', 'fairview', 'high', 'prairie', 'manning']",air quality advisory ended environment canada bonnyville st paul cold lake lac la biche peace river fairview high prairie manning,positive
We re talking to child geniuses in our new series Tiny Mic Big Ideas ! Annie at @sopecreek shares how her invention would help measure air quality and detect pollution. These kids are smart y all! https://t.co/mmIEmLmj5t,we re talking to child geniuses in our new series tiny mic big ideas annie at shares how her invention would help measure air quality and detect pollution these kids are smart y all,"['we', 're', 'talking', 'to', 'child', 'geniuses', 'in', 'our', 'new', 'series', 'tiny', 'mic', 'big', 'ideas', 'annie', 'at', 'shares', 'how', 'her', 'invention', 'would', 'help', 'measure', 'air', 'quality', 'and', 'detect', 'pollution', 'these', 'kids', 'are', 'smart', 'y', 'all']","['we', 're', 'talking', 'to', 'child', 'geniuses', 'in', 'our', 'new', 'series', 'tiny', 'mic', 'big', 'ideas', 'annie', 'at', 'shares', 'how', 'her', 'invention', 'would', 'help', 'measure', 'air', 'quality', 'and', 'detect', 'pollution', 'these', 'kids', 'are', 'smart', 'y', 'all']","['talking', 'child', 'geniuses', 'new', 'series', 'tiny', 'mic', 'big', 'ideas', 'annie', 'shares', 'invention', 'help', 'measure', 'air', 'quality', 'detect', 'pollution', 'kids', 'smart']","['talking', 'child', 'geniuses', 'new', 'series', 'tiny', 'mic', 'big', 'ideas', 'annie', 'shares', 'invention', 'help', 'measure', 'air', 'quality', 'detect', 'pollution', 'kids', 'smart']",talking child geniuses new series tiny mic big ideas annie shares invention help measure air quality detect pollution kids smart,positive
On top of thunderstorms and heat in Manitoba we could also be dealing with poor air quality as the smoke from fires out West is making it here. Here's a depiction of the smoke dispersion across the Prairies. #MBstorm MB is in CDT which is UTC-5. Tips: https://t.co/Zj2IGdIk5S https://t.co/y0bjBowGh9,on top of thunderstorms and heat in manitoba we could also be dealing with poor air quality as the smoke from fires out west is making it here heres a depiction of the smoke dispersion across the prairies mb is in cdt which is utc tips,"['on', 'top', 'of', 'thunderstorms', 'and', 'heat', 'in', 'manitoba', 'we', 'could', 'also', 'be', 'dealing', 'with', 'poor', 'air', 'quality', 'as', 'the', 'smoke', 'from', 'fires', 'out', 'west', 'is', 'making', 'it', 'here', 'heres', 'a', 'depiction', 'of', 'the', 'smoke', 'dispersion', 'across', 'the', 'prairies', 'mb', 'is', 'in', 'cdt', 'which', 'is', 'utc', 'tips']","['on', 'top', 'of', 'thunderstorms', 'and', 'heat', 'in', 'manitoba', 'we', 'could', 'also', 'be', 'dealing', 'with', 'poor', 'air', 'quality', 'as', 'the', 'smoke', 'from', 'fires', 'out', 'west', 'is', 'making', 'it', 'here', 'heres', 'a', 'depiction', 'of', 'the', 'smoke', 'dispersion', 'across', 'the', 'prairies', 'mb', 'is', 'in', 'cdt', 'which', 'is', 'utc', 'tips']","['top', 'thunderstorms', 'heat', 'manitoba', 'dealing', 'poor', 'air', 'quality', 'smoke', 'fires', 'west', 'making', 'heres', 'depiction', 'smoke', 'dispersion', 'across', 'prairies', 'mb', 'cdt', 'utc', 'tips']","['top', 'thunderstorms', 'heat', 'manitoba', 'dealing', 'poor', 'air', 'quality', 'smoke', 'fires', 'west', 'making', 'heres', 'depiction', 'smoke', 'dispersion', 'across', 'prairies', 'mb', 'cdt', 'utc', 'tips']",top thunderstorms heat manitoba dealing poor air quality smoke fires west making heres depiction smoke dispersion across prairies mb cdt utc tips,negative
@disneyglimpses @hoorayforeric Not taking in humidity heat index and air quality is something. Also you re only trying to reinforce an idea in your head when in reality it s not ONE thing. It s heat cost time effort air travel sucks etc.,not taking in humidity heat index and air quality is something also you re only trying to reinforce an idea in your head when in reality it s not one thing it s heat cost time effort air travel sucks etc,"['not', 'taking', 'in', 'humidity', 'heat', 'index', 'and', 'air', 'quality', 'is', 'something', 'also', 'you', 're', 'only', 'trying', 'to', 'reinforce', 'an', 'idea', 'in', 'your', 'head', 'when', 'in', 'reality', 'it', 's', 'not', 'one', 'thing', 'it', 's', 'heat', 'cost', 'time', 'effort', 'air', 'travel', 'sucks', 'etc']","['not', 'taking', 'in', 'humidity', 'heat', 'index', 'and', 'air', 'quality', 'is', 'something', 'also', 'you', 're', 'only', 'trying', 'to', 'reinforce', 'an', 'idea', 'in', 'your', 'head', 'when', 'in', 'reality', 'it', 's', 'not', 'one', 'thing', 'it', 's', 'heat', 'cost', 'time', 'effort', 'air', 'travel', 'sucks', 'etc']","['taking', 'humidity', 'heat', 'index', 'air', 'quality', 'something', 'trying', 'reinforce', 'idea', 'head', 'reality', 'thing', 'heat', 'cost', 'effort', 'air', 'travel', 'sucks', 'etc']","['taking', 'humidity', 'heat', 'index', 'air', 'quality', 'something', 'trying', 'reinforce', 'idea', 'head', 'reality', 'thing', 'heat', 'cost', 'effort', 'air', 'travel', 'sucks', 'etc']",taking humidity heat index air quality something trying reinforce idea head reality thing heat cost effort air travel sucks etc,negative
Smoke from Canadian wildfires has overspread part of the Northern Plains today. While the smoke is mainly aloft some has reached the surface causing air quality to fall to moderate levels. Sensitive individuals may want to take necessary safety precautions today. https://t.co/NmSdwzptc2,smoke from canadian wildfires has overspread part of the northern plains today while the smoke is mainly aloft some has reached the surface causing air quality to fall to moderate levels sensitive individuals may want to take necessary safety precautions today,"['smoke', 'from', 'canadian', 'wildfires', 'has', 'overspread', 'part', 'of', 'the', 'northern', 'plains', 'today', 'while', 'the', 'smoke', 'is', 'mainly', 'aloft', 'some', 'has', 'reached', 'the', 'surface', 'causing', 'air', 'quality', 'to', 'fall', 'to', 'moderate', 'levels', 'sensitive', 'individuals', 'may', 'want', 'to', 'take', 'necessary', 'safety', 'precautions', 'today']","['smoke', 'from', 'canadian', 'wildfires', 'has', 'overspread', 'part', 'of', 'the', 'northern', 'plains', 'today', 'while', 'the', 'smoke', 'is', 'mainly', 'aloft', 'some', 'has', 'reached', 'the', 'surface', 'causing', 'air', 'quality', 'to', 'fall', 'to', 'moderate', 'levels', 'sensitive', 'individuals', 'may', 'want', 'to', 'take', 'necessary', 'safety', 'precautions', 'today']","['smoke', 'canadian', 'wildfires', 'overspread', 'part', 'northern', 'plains', 'today', 'smoke', 'mainly', 'aloft', 'reached', 'surface', 'causing', 'air', 'quality', 'fall', 'moderate', 'levels', 'sensitive', 'individuals', 'want', 'necessary', 'safety', 'precautions', 'today']","['smoke', 'canadian', 'wildfires', 'overspread', 'part', 'northern', 'plains', 'today', 'smoke', 'mainly', 'aloft', 'reached', 'surface', 'causing', 'air', 'quality', 'fall', 'moderate', 'levels', 'sensitive', 'individuals', 'want', 'necessary', 'safety', 'precautions', 'today']",smoke canadian wildfires overspread part northern plains today smoke mainly aloft reached surface causing air quality fall moderate levels sensitive individuals want necessary safety precautions today,positive
We have an Air Quality Alert in effect today across the Philadelphia Area due to elevated levels of surface OZONE. The elevated ozone levels are a result of a chemical reaction caused by the high heat and sunshine. Check it out: https://t.co/0TrEtC1aSj https://t.co/WwcG7sZInz,we have an air quality alert in effect today across the philadelphia area due to elevated levels of surface ozone the elevated ozone levels are a result of a chemical reaction caused by the high heat and sunshine check it out,"['we', 'have', 'an', 'air', 'quality', 'alert', 'in', 'effect', 'today', 'across', 'the', 'philadelphia', 'area', 'due', 'to', 'elevated', 'levels', 'of', 'surface', 'ozone', 'the', 'elevated', 'ozone', 'levels', 'are', 'a', 'result', 'of', 'a', 'chemical', 'reaction', 'caused', 'by', 'the', 'high', 'heat', 'and', 'sunshine', 'check', 'it', 'out']","['we', 'have', 'an', 'air', 'quality', 'alert', 'in', 'effect', 'today', 'across', 'the', 'philadelphia', 'area', 'due', 'to', 'elevated', 'levels', 'of', 'surface', 'ozone', 'the', 'elevated', 'ozone', 'levels', 'are', 'a', 'result', 'of', 'a', 'chemical', 'reaction', 'caused', 'by', 'the', 'high', 'heat', 'and', 'sunshine', 'check', 'it', 'out']","['air', 'quality', 'alert', 'effect', 'today', 'across', 'philadelphia', 'area', 'elevated', 'levels', 'surface', 'ozone', 'elevated', 'ozone', 'levels', 'result', 'chemical', 'reaction', 'caused', 'high', 'heat', 'sunshine', 'check']","['air', 'quality', 'alert', 'effect', 'today', 'across', 'philadelphia', 'area', 'elevated', 'levels', 'surface', 'ozone', 'elevated', 'ozone', 'levels', 'result', 'chemical', 'reaction', 'caused', 'high', 'heat', 'sunshine', 'check']",air quality alert effect today across philadelphia area elevated levels surface ozone elevated ozone levels result chemical reaction caused high heat sunshine check,positive
Stay connected! Download the South Coast AQMD mobile app for real-time air quality notifications local air forecasts and more! https://t.co/Ae3y3qYfYJ https://t.co/ppgf3vCRz4,stay connected download the south coast aqmd mobile app for realtime air quality notifications local air forecasts and more,"['stay', 'connected', 'download', 'the', 'south', 'coast', 'aqmd', 'mobile', 'app', 'for', 'realtime', 'air', 'quality', 'notifications', 'local', 'air', 'forecasts', 'and', 'more']","['stay', 'connected', 'download', 'the', 'south', 'coast', 'aqmd', 'mobile', 'app', 'for', 'realtime', 'air', 'quality', 'notifications', 'local', 'air', 'forecasts', 'and', 'more']","['stay', 'connected', 'download', 'south', 'coast', 'aqmd', 'mobile', 'app', 'realtime', 'air', 'quality', 'notifications', 'local', 'air', 'forecasts']","['stay', 'connected', 'download', 'south', 'coast', 'aqmd', 'mobile', 'app', 'realtime', 'air', 'quality', 'notifications', 'local', 'air', 'forecasts']",stay connected download south coast aqmd mobile app realtime air quality notifications local air forecasts,neutral
@singingsox Also on hideous air quality days that are a decent temperature we got a 24x30 MERV 13 that we tape in a window to allow 02 in without the PM2.5. Clearly not an option right now in the northeast.,also on hideous air quality days that are a decent temperature we got a x merv that we tape in a window to allow in without the pm clearly not an option right now in the northeast,"['also', 'on', 'hideous', 'air', 'quality', 'days', 'that', 'are', 'a', 'decent', 'temperature', 'we', 'got', 'a', 'x', 'merv', 'that', 'we', 'tape', 'in', 'a', 'window', 'to', 'allow', 'in', 'without', 'the', 'pm', 'clearly', 'not', 'an', 'option', 'right', 'now', 'in', 'the', 'northeast']","['also', 'on', 'hideous', 'air', 'quality', 'days', 'that', 'are', 'a', 'decent', 'temperature', 'we', 'got', 'a', 'x', 'merv', 'that', 'we', 'tape', 'in', 'a', 'window', 'to', 'allow', 'in', 'without', 'the', 'pm', 'clearly', 'not', 'an', 'option', 'right', 'now', 'in', 'the', 'northeast']","['hideous', 'air', 'quality', 'days', 'decent', 'temperature', 'got', 'x', 'merv', 'tape', 'window', 'allow', 'without', 'clearly', 'option', 'right', 'northeast']","['hideous', 'air', 'quality', 'days', 'decent', 'temperature', 'got', 'x', 'merv', 'tape', 'window', 'allow', 'without', 'clearly', 'option', 'right', 'northeast']",hideous air quality days decent temperature got x merv tape window allow without clearly option right northeast,negative
Important to know the difference. Two types of smoke. A- NEAR SURFACE and B- VERTICALLY INTEGRATED A- impacts air quality focused to S. Oregon/N. California coming days. B- does NOT impact air quality and appears like a milky sky. Possible for anyone in the NW this week.,important to know the difference two types of smoke a near surface and b vertically integrated a impacts air quality focused to s oregonn california coming days b does not impact air quality and appears like a milky sky possible for anyone in the nw this week,"['important', 'to', 'know', 'the', 'difference', 'two', 'types', 'of', 'smoke', 'a', 'near', 'surface', 'and', 'b', 'vertically', 'integrated', 'a', 'impacts', 'air', 'quality', 'focused', 'to', 's', 'oregonn', 'california', 'coming', 'days', 'b', 'does', 'not', 'impact', 'air', 'quality', 'and', 'appears', 'like', 'a', 'milky', 'sky', 'possible', 'for', 'anyone', 'in', 'the', 'nw', 'this', 'week']","['important', 'to', 'know', 'the', 'difference', 'two', 'types', 'of', 'smoke', 'a', 'near', 'surface', 'and', 'b', 'vertically', 'integrated', 'a', 'impacts', 'air', 'quality', 'focused', 'to', 's', 'oregonn', 'california', 'coming', 'days', 'b', 'does', 'not', 'impact', 'air', 'quality', 'and', 'appears', 'like', 'a', 'milky', 'sky', 'possible', 'for', 'anyone', 'in', 'the', 'nw', 'this', 'week']","['important', 'difference', 'types', 'smoke', 'near', 'surface', 'b', 'vertically', 'integrated', 'impacts', 'air', 'quality', 'focused', 'oregonn', 'california', 'coming', 'days', 'b', 'impact', 'air', 'quality', 'appears', 'like', 'milky', 'sky', 'possible', 'anyone', 'nw', 'week']","['important', 'difference', 'types', 'smoke', 'near', 'surface', 'b', 'vertically', 'integrated', 'impacts', 'air', 'quality', 'focused', 'oregonn', 'california', 'coming', 'days', 'b', 'impact', 'air', 'quality', 'appears', 'like', 'milky', 'sky', 'possible', 'anyone', 'nw', 'week']",important difference types smoke near surface b vertically integrated impacts air quality focused oregonn california coming days b impact air quality appears like milky sky possible anyone nw week,positive
Interesting day at the National Highways air quality conference. Great that their data are now more accessible and that improving air quality is on the agenda. As ever political will has a big say over solutions but I can t see PM reduction without reducing vehicle movements,interesting day at the national highways air quality conference great that their data are now more accessible and that improving air quality is on the agenda as ever political will has a big say over solutions but i can t see pm reduction without reducing vehicle movements,"['interesting', 'day', 'at', 'the', 'national', 'highways', 'air', 'quality', 'conference', 'great', 'that', 'their', 'data', 'are', 'now', 'more', 'accessible', 'and', 'that', 'improving', 'air', 'quality', 'is', 'on', 'the', 'agenda', 'as', 'ever', 'political', 'will', 'has', 'a', 'big', 'say', 'over', 'solutions', 'but', 'i', 'can', 't', 'see', 'pm', 'reduction', 'without', 'reducing', 'vehicle', 'movements']","['interesting', 'day', 'at', 'the', 'national', 'highways', 'air', 'quality', 'conference', 'great', 'that', 'their', 'data', 'are', 'now', 'more', 'accessible', 'and', 'that', 'improving', 'air', 'quality', 'is', 'on', 'the', 'agenda', 'as', 'ever', 'political', 'will', 'has', 'a', 'big', 'say', 'over', 'solutions', 'but', 'i', 'can', 't', 'see', 'pm', 'reduction', 'without', 'reducing', 'vehicle', 'movements']","['interesting', 'national', 'highways', 'air', 'quality', 'conference', 'great', 'data', 'accessible', 'improving', 'air', 'quality', 'agenda', 'ever', 'political', 'big', 'say', 'solutions', 'reduction', 'without', 'reducing', 'vehicle', 'movements']","['interesting', 'national', 'highways', 'air', 'quality', 'conference', 'great', 'data', 'accessible', 'improving', 'air', 'quality', 'agenda', 'ever', 'political', 'big', 'say', 'solutions', 'reduction', 'without', 'reducing', 'vehicle', 'movements']",interesting national highways air quality conference great data accessible improving air quality agenda ever political big say solutions reduction without reducing vehicle movements,positive
It s #busmonth! FTA announced ~$1.5 billion from the President s Bipartisan Infrastructure Law to fund 1100+ American-made buses across 47 states. Two-thirds will be low and no emission models that will improve air quality in cities from coast to coast. https://t.co/G3KKonfo2w https://t.co/i7S7yCtsHI,it s fta announced billion from the president s bipartisan infrastructure law to fund americanmade buses across states twothirds will be low and no emission models that will improve air quality in cities from coast to coast,"['it', 's', 'fta', 'announced', 'billion', 'from', 'the', 'president', 's', 'bipartisan', 'infrastructure', 'law', 'to', 'fund', 'americanmade', 'buses', 'across', 'states', 'twothirds', 'will', 'be', 'low', 'and', 'no', 'emission', 'models', 'that', 'will', 'improve', 'air', 'quality', 'in', 'cities', 'from', 'coast', 'to', 'coast']","['it', 's', 'fta', 'announced', 'billion', 'from', 'the', 'president', 's', 'bipartisan', 'infrastructure', 'law', 'to', 'fund', 'americanmade', 'buses', 'across', 'states', 'twothirds', 'will', 'be', 'low', 'and', 'no', 'emission', 'models', 'that', 'will', 'improve', 'air', 'quality', 'in', 'cities', 'from', 'coast', 'to', 'coast']","['fta', 'announced', 'billion', 'president', 'bipartisan', 'infrastructure', 'law', 'fund', 'americanmade', 'buses', 'across', 'states', 'twothirds', 'low', 'emission', 'models', 'improve', 'air', 'quality', 'cities', 'coast', 'coast']","['fta', 'announced', 'billion', 'president', 'bipartisan', 'infrastructure', 'law', 'fund', 'americanmade', 'buses', 'across', 'states', 'twothirds', 'low', 'emission', 'models', 'improve', 'air', 'quality', 'cities', 'coast', 'coast']",fta announced billion president bipartisan infrastructure law fund americanmade buses across states twothirds low emission models improve air quality cities coast coast,positive
NWCAA AQ FORECAST: Air quality will be Moderate on 07/09 in #Island #Skagit &amp,nwcaa aq forecast air quality will be moderate on in amp,"['nwcaa', 'aq', 'forecast', 'air', 'quality', 'will', 'be', 'moderate', 'on', 'in', 'amp']","['nwcaa', 'aq', 'forecast', 'air', 'quality', 'will', 'be', 'moderate', 'on', 'in', 'amp']","['nwcaa', 'aq', 'forecast', 'air', 'quality', 'moderate']","['nwcaa', 'aq', 'forecast', 'air', 'quality', 'moderate']",nwcaa aq forecast air quality moderate,neutral
Indoor Air Quality (IAQ) focuses on air Indoor Environmental Quality (IEQ) covers lighting acoustics and thermal conditions. AeroBarrier improves both IAQ and IEQ by reducing contaminants and enhancing comfort. How important is a healthy indoor environment to you? https://t.co/ClkoPWzLUc,indoor air quality iaq focuses on air indoor environmental quality ieq covers lighting acoustics and thermal conditions aerobarrier improves both iaq and ieq by reducing contaminants and enhancing comfort how important is a healthy indoor environment to you,"['indoor', 'air', 'quality', 'iaq', 'focuses', 'on', 'air', 'indoor', 'environmental', 'quality', 'ieq', 'covers', 'lighting', 'acoustics', 'and', 'thermal', 'conditions', 'aerobarrier', 'improves', 'both', 'iaq', 'and', 'ieq', 'by', 'reducing', 'contaminants', 'and', 'enhancing', 'comfort', 'how', 'important', 'is', 'a', 'healthy', 'indoor', 'environment', 'to', 'you']","['indoor', 'air', 'quality', 'iaq', 'focuses', 'on', 'air', 'indoor', 'environmental', 'quality', 'ieq', 'covers', 'lighting', 'acoustics', 'and', 'thermal', 'conditions', 'aerobarrier', 'improves', 'both', 'iaq', 'and', 'ieq', 'by', 'reducing', 'contaminants', 'and', 'enhancing', 'comfort', 'how', 'important', 'is', 'a', 'healthy', 'indoor', 'environment', 'to', 'you']","['indoor', 'air', 'quality', 'iaq', 'focuses', 'air', 'indoor', 'environmental', 'quality', 'ieq', 'covers', 'lighting', 'acoustics', 'thermal', 'conditions', 'aerobarrier', 'improves', 'iaq', 'ieq', 'reducing', 'contaminants', 'enhancing', 'comfort', 'important', 'healthy', 'indoor', 'environment']","['indoor', 'air', 'quality', 'iaq', 'focuses', 'air', 'indoor', 'environmental', 'quality', 'ieq', 'covers', 'lighting', 'acoustics', 'thermal', 'conditions', 'aerobarrier', 'improves', 'iaq', 'ieq', 'reducing', 'contaminants', 'enhancing', 'comfort', 'important', 'healthy', 'indoor', 'environment']",indoor air quality iaq focuses air indoor environmental quality ieq covers lighting acoustics thermal conditions aerobarrier improves iaq ieq reducing contaminants enhancing comfort important healthy indoor environment,positive
A plume of Saharan dust haze will continue to cause a reduction in visibility and air quality across the region during the forecast period.,a plume of saharan dust haze will continue to cause a reduction in visibility and air quality across the region during the forecast period,"['a', 'plume', 'of', 'saharan', 'dust', 'haze', 'will', 'continue', 'to', 'cause', 'a', 'reduction', 'in', 'visibility', 'and', 'air', 'quality', 'across', 'the', 'region', 'during', 'the', 'forecast', 'period']","['a', 'plume', 'of', 'saharan', 'dust', 'haze', 'will', 'continue', 'to', 'cause', 'a', 'reduction', 'in', 'visibility', 'and', 'air', 'quality', 'across', 'the', 'region', 'during', 'the', 'forecast', 'period']","['plume', 'saharan', 'dust', 'haze', 'continue', 'cause', 'reduction', 'visibility', 'air', 'quality', 'across', 'region', 'forecast', 'period']","['plume', 'saharan', 'dust', 'haze', 'continue', 'cause', 'reduction', 'visibility', 'air', 'quality', 'across', 'region', 'forecast', 'period']",plume saharan dust haze continue cause reduction visibility air quality across region forecast period,neutral
Persons with respiratory ailments and dust allergies should take the necessary precautions due to reduced air quality.,persons with respiratory ailments and dust allergies should take the necessary precautions due to reduced air quality,"['persons', 'with', 'respiratory', 'ailments', 'and', 'dust', 'allergies', 'should', 'take', 'the', 'necessary', 'precautions', 'due', 'to', 'reduced', 'air', 'quality']","['persons', 'with', 'respiratory', 'ailments', 'and', 'dust', 'allergies', 'should', 'take', 'the', 'necessary', 'precautions', 'due', 'to', 'reduced', 'air', 'quality']","['persons', 'respiratory', 'ailments', 'dust', 'allergies', 'necessary', 'precautions', 'reduced', 'air', 'quality']","['persons', 'respiratory', 'ailments', 'dust', 'allergies', 'necessary', 'precautions', 'reduced', 'air', 'quality']",persons respiratory ailments dust allergies necessary precautions reduced air quality,neutral
